Edad,Hombres,Mujeres
0,15034,14631
1,16070,15679
2,17485,16894
3,18140,17488
4,18352,17827
5,18468,17666
6,17595,16936
7,17927,16988
8,18645,17672
9,17181,16955
10,18755,17883
11,16940,16143
12,17642,16948
13,16641,16504
14,16786,16029
15,16904,16153
16,16093,15749
17,16996,16547
18,17820,16722
19,15026,14980
20,16930,16814
21,14634,14611
22,15986,15543
23,14773,14722
24,14613,14962
25,15111,15550
26,13529,14479
27,13692,14055
28,13928,14585
29,12778,13400
30,15585,16182
31,11040,11680
32,13313,13945
33,11727,12371
34,11567,12116
35,12567,13439
36,11511,12624
37,10502,11035
38,12381,12731
39,10673,11367
40,13723,14283
41,8965,9574
42,12862,13278
43,10721,11722
44,9507,10341
45,12223,12994
46,10061,10694
47,10184,10768
48,10373,10963
49,9468,10342
50,11617,12618
51,7274,8252
52,9860,10793
53,8587,9525
54,8642,9841
55,8674,9432
56,8322,8837
57,6943,7729
58,7238,8283
59,6794,7745
60,8652,9449
61,4834,5327
62,6515,7291
63,6028,6625
64,5606,6209
65,6189,6707
66,4390,4933
67,4422,4621
68,4955,5613
69,3802,4095
70,4748,5008
71,2751,2994
72,3897,4278
73,3203,3510
74,3159,3408
75,3151,3414
76,2579,2944
77,2329,2279
78,2572,2508
79,1962,1951
80,2284,2560
81,1277,1379
82,1628,1790
83,1440,1639
84,1429,1600
85,1214,1357
86,964,1175
87,787,905
88,653,728
89,573,686
90,533,679
91,244,307
92,285,372
93,216,274
94,163,260
95,133,205
96,112,144
97,79,106
98,54,82
99,40,57
100 y mas,60,97
No especificados,1576,1599
