Edad,Hombres,Mujeres
00 años,15034,14631
01 años,16070,15679
02 años,17485,16894
03 años,18140,17488
04 años,18352,17827
05 años,18468,17666
06 años,17595,16936
07 años,17927,16988
08 años,18645,17672
09 años,17181,16955
10 años,18755,17883
11 años,16940,16143
12 años,17642,16948
13 años,16641,16504
14 años,16786,16029
15 años,16904,16153
16 años,16093,15749
17 años,16996,16547
18 años,17820,16722
19 años,15026,14980
20 años,16930,16814
21 años,14634,14611
22 años,15986,15543
23 años,14773,14722
24 años,14613,14962
25 años,15111,15550
26 años,13529,14479
27 años,13692,14055
28 años,13928,14585
29 años,12778,13400
30 años,15585,16182
31 años,11040,11680
32 años,13313,13945
33 años,11727,12371
34 años,11567,12116
35 años,12567,13439
36 años,11511,12624
37 años,10502,11035
38 años,12381,12731
39 años,10673,11367
40 años,13723,14283
41 años,8965,9574
42 años,12862,13278
43 años,10721,11722
44 años,9507,10341
45 años,12223,12994
46 años,10061,10694
47 años,10184,10768
48 años,10373,10963
49 años,9468,10342
50 años,11617,12618
51 años,7274,8252
52 años,9860,10793
53 años,8587,9525
54 años,8642,9841
55 años,8674,9432
56 años,8322,8837
57 años,6943,7729
58 años,7238,8283
59 años,6794,7745
60 años,8652,9449
61 años,4834,5327
62 años,6515,7291
63 años,6028,6625
64 años,5606,6209
65 años,6189,6707
66 años,4390,4933
67 años,4422,4621
68 años,4955,5613
69 años,3802,4095
70 años,4748,5008
71 años,2751,2994
72 años,3897,4278
73 años,3203,3510
74 años,3159,3408
75 años,3151,3414
76 años,2579,2944
77 años,2329,2279
78 años,2572,2508
79 años,1962,1951
80 años,2284,2560
81 años,1277,1379
82 años,1628,1790
83 años,1440,1639
84 años,1429,1600
85 años,1214,1357
86 años,964,1175
87 años,787,905
88 años,653,728
89 años,573,686
90 años,533,679
91 años,244,307
92 años,285,372
93 años,216,274
94 años,163,260
95 años,133,205
96 años,112,144
97 años,79,106
98 años,54,82
99 años,40,57
100 años y más,60,97
No especificado,1576,1599
